dataset,source_record_id,ispb,cnpj,institution_name,short_name,institution_type,spi_participation_type,pix_participation_type,pix_participation_mode,is_authorized_by_bcb,catalog_snapshot_date,source_registry_id,source_file_url,source_publication_date,schema_version,adhesion_status,raw_source_json
pix_in_adhesion,pix_in_adhesion:1,07115294,07115294000146,BOKU NETWORK BRASIL IP,BOKU NETWORK BRASIL IP,Instituição de Pagamento,Indireta,Facultativa,Provedor de Conta Transacional,true,2026-04-24,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260424.csv,2026-04-24,1.0.0,Ativo em operação restrita,"{""row_number"":""1"",""nome_reduzido"":""BOKU NETWORK BRASIL IP"",""ispb"":""07115294"",""cnpj"":""07.115.294/0001-46"",""tipo_instituicao"":""Instituição de Pagamento"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Indireta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Ativo em operação restrita""}"
pix_in_adhesion,pix_in_adhesion:2,08422119,08422119000164,BULLLA IP S.A.,BULLLA IP S.A.,Instituição de Pagamento,Indireta,Obrigatória,Provedor de Conta Transacional,true,2026-04-24,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260424.csv,2026-04-24,1.0.0,Etapa Homologatória,"{""row_number"":""2"",""nome_reduzido"":""BULLLA IP S.A."",""ispb"":""08422119"",""cnpj"":""08.422.119/0001-64"",""tipo_instituicao"":""Instituição de Pagamento"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Indireta"",""tipo_participacao_pix"":""Obrigatória"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Etapa Homologatória""}"
pix_in_adhesion,pix_in_adhesion:3,39696395,39696395000144,CACTVS IP S.A.,CACTVS IP S.A.,Instituição de Pagamento,Direta,Facultativa,Provedor de Conta Transacional,true,2026-04-24,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260424.csv,2026-04-24,1.0.0,Etapa Homologatória,"{""row_number"":""3"",""nome_reduzido"":""CACTVS IP S.A."",""ispb"":""39696395"",""cnpj"":""39.696.395/0001-44"",""tipo_instituicao"":""Instituição de Pagamento"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Direta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Etapa Homologatória""}"
pix_in_adhesion,pix_in_adhesion:4,53720128,53720128000196,CONTA SIMPLES SCD S.A.,CONTA SIMPLES SCD S.A.,Sociedade de Crédito Direto,Indireta,Facultativa,Provedor de Conta Transacional,true,2026-04-24,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260424.csv,2026-04-24,1.0.0,Etapa Homologatória,"{""row_number"":""4"",""nome_reduzido"":""CONTA SIMPLES SCD S.A."",""ispb"":""53720128"",""cnpj"":""53.720.128/0001-96"",""tipo_instituicao"":""Sociedade de Crédito Direto"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Indireta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Etapa Homologatória""}"
pix_in_adhesion,pix_in_adhesion:5,41146382,41146382000143,COOPERLEGIS,COOPERLEGIS,Cooperativa de Crédito,Indireta,Facultativa,Provedor de Conta Transacional,true,2026-04-24,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260424.csv,2026-04-24,1.0.0,Etapa Homologatória,"{""row_number"":""5"",""nome_reduzido"":""COOPERLEGIS"",""ispb"":""41146382"",""cnpj"":""41.146.382/0001-43"",""tipo_instituicao"":""Cooperativa de Crédito"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Indireta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Etapa Homologatória""}"
pix_in_adhesion,pix_in_adhesion:6,,23558980000148,GALACTICO INSTITUICAO DE PAGAM,GALACTICO INSTITUICAO DE PAGAM,Instituição de Pagamento não sujeita à autorização pelo BCB,,Facultativa,Provedor de Conta Transacional,false,2026-04-24,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260424.csv,2026-04-24,1.0.0,Aguardando Início da Etapa de Operação Restrita,"{""row_number"":""6"",""nome_reduzido"":""GALACTICO INSTITUICAO DE PAGAM"",""ispb"":"""",""cnpj"":""23.558.980/0001-48"",""tipo_instituicao"":""Instituição de Pagamento não sujeita à autorização pelo BCB"",""autorizada_pelo_bcb"":""Não"",""tipo_participacao_spi"":"""",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Aguardando Início da Etapa de Operação Restrita""}"
pix_in_adhesion,pix_in_adhesion:7,46505612,46505612000137,MONERY IP S.A.,MONERY IP S.A.,Instituição de Pagamento,Direta,Facultativa,Provedor de Conta Transacional,true,2026-04-24,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260424.csv,2026-04-24,1.0.0,Etapa Homologatória,"{""row_number"":""7"",""nome_reduzido"":""MONERY IP S.A."",""ispb"":""46505612"",""cnpj"":""46.505.612/0001-37"",""tipo_instituicao"":""Instituição de Pagamento"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Direta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Etapa Homologatória""}"
pix_in_adhesion,pix_in_adhesion:8,62448932,62448932000159,MULTIPLIKE FINANCEIRA S.A. SCFI,MULTIPLIKE FINANCEIRA S.A. SCFI,"Sociedade de Crédito, Financiamento e Investimento",Direta,Facultativa,Provedor de Conta Transacional,true,2026-04-24,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260424.csv,2026-04-24,1.0.0,Etapa Homologatória,"{""row_number"":""8"",""nome_reduzido"":""MULTIPLIKE FINANCEIRA S.A. SCFI"",""ispb"":""62448932"",""cnpj"":""62.448.932/0001-59"",""tipo_instituicao"":""Sociedade de Crédito, Financiamento e Investimento"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Direta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Etapa Homologatória""}"
pix_in_adhesion,pix_in_adhesion:9,,13776742000155,RENDIMENTOPAY IP S.A,RENDIMENTOPAY IP S.A,Instituição de Pagamento,,Facultativa,Provedor de Conta Transacional,true,2026-04-24,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260424.csv,2026-04-24,1.0.0,Ativo em operação restrita,"{""row_number"":""9"",""nome_reduzido"":""RENDIMENTOPAY IP S.A"",""ispb"":"""",""cnpj"":""13.776.742/0001-55"",""tipo_instituicao"":""Instituição de Pagamento"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":"""",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Ativo em operação restrita""}"
pix_in_adhesion,pix_in_adhesion:10,13776742,13776742000155,RENDIMENTOPAY IP S.A,RENDIMENTOPAY IP S.A,Instituição de Pagamento,Indireta,Facultativa,Provedor de Conta Transacional,true,2026-04-24,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260424.csv,2026-04-24,1.0.0,Aguardando Início da Etapa de Operação Restrita,"{""row_number"":""10"",""nome_reduzido"":""RENDIMENTOPAY IP S.A"",""ispb"":""13776742"",""cnpj"":""13.776.742/0001-55"",""tipo_instituicao"":""Instituição de Pagamento"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Indireta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Aguardando Início da Etapa de Operação Restrita""}"
pix_in_adhesion,pix_in_adhesion:11,56198117,56198117000186,SQUID SCD S.A.,SQUID SCD S.A.,Sociedade de Crédito Direto,Indireta,Facultativa,Provedor de Conta Transacional,true,2026-04-24,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260424.csv,2026-04-24,1.0.0,Ativo em operação restrita,"{""row_number"":""11"",""nome_reduzido"":""SQUID SCD S.A."",""ispb"":""56198117"",""cnpj"":""56.198.117/0001-86"",""tipo_instituicao"":""Sociedade de Crédito Direto"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Indireta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Ativo em operação restrita""}"
pix_in_adhesion,pix_in_adhesion:12,10314753,10314753000125,STRADA PAY IP LTDA.,STRADA PAY IP LTDA.,Instituição de Pagamento,Indireta,Facultativa,Provedor de Conta Transacional,true,2026-04-24,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260424.csv,2026-04-24,1.0.0,Ativo em operação restrita,"{""row_number"":""12"",""nome_reduzido"":""STRADA PAY IP LTDA."",""ispb"":""10314753"",""cnpj"":""10.314.753/0001-25"",""tipo_instituicao"":""Instituição de Pagamento"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Indireta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Ativo em operação restrita""}"
pix_in_adhesion,pix_in_adhesion:13,20155248,20155248000139,UNIDA DTVM LTDA,UNIDA DTVM LTDA,Sociedade Distribuidora de TVM,Direta,Facultativa,Provedor de Conta Transacional,true,2026-04-24,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260424.csv,2026-04-24,1.0.0,Etapa Homologatória,"{""row_number"":""13"",""nome_reduzido"":""UNIDA DTVM LTDA"",""ispb"":""20155248"",""cnpj"":""20.155.248/0001-39"",""tipo_instituicao"":""Sociedade Distribuidora de TVM"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Direta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Etapa Homologatória""}"
pix_in_adhesion,pix_in_adhesion:14,,57164291000170,VISA CONECTA IP LTDA.,VISA CONECTA IP LTDA.,Instituição de Pagamento,,Facultativa,Iniciador,true,2026-04-24,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260424.csv,2026-04-24,1.0.0,Etapa Homologatória,"{""row_number"":""14"",""nome_reduzido"":""VISA CONECTA IP LTDA."",""ispb"":"""",""cnpj"":""57.164.291/0001-70"",""tipo_instituicao"":""Instituição de Pagamento"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":"""",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Iniciador"",""adhesion_status"":""Etapa Homologatória""}"
pix_in_adhesion,pix_in_adhesion:15,40571694,40571694000131,WISE BRASIL IP LTDA.,WISE BRASIL IP LTDA.,Instituição de Pagamento,Indireta,Facultativa,Provedor de Conta Transacional,true,2026-04-24,bcb-pix-in-adhesion,https://www.bcb.gov.br/content/estabilidadefinanceira/participantes_pix/lista-participantes-instituicoes-em-adesao-pix-20260424.csv,2026-04-24,1.0.0,Aguardando Início da Etapa de Operação Restrita,"{""row_number"":""15"",""nome_reduzido"":""WISE BRASIL IP LTDA."",""ispb"":""40571694"",""cnpj"":""40.571.694/0001-31"",""tipo_instituicao"":""Instituição de Pagamento"",""autorizada_pelo_bcb"":""Sim"",""tipo_participacao_spi"":""Indireta"",""tipo_participacao_pix"":""Facultativa"",""modalidade_participacao_pix"":""Provedor de Conta Transacional"",""adhesion_status"":""Aguardando Início da Etapa de Operação Restrita""}"
